נאה דורש ונאה מקיים,אומר ועושה/מבטיח ומקיים
אומר דרשני,מצריך בדיקה/טעון עיון
דרשה,הרצאת דברי תורה/ביאור פירוש
דרתא,חצר
דישדש,בוסס ברגליו/דרך
דושן,פוריות האדמה,דישן
דשן,שמן/רענן
כדת וכדין,כמו שצריך על פי כל החוקים,אתם נשואים כדת ודין
