חָרום,פחוס, שקוע
חרון,כעס
חָרוף,בזוי, מבויש
חרחר ריב,גרם לריב
חריט,ארנק
חריץ,נתח
חרך,1.שרף במקצת, 2.אשנב בקיר
חֵרֵף,קלל, גדף, נאץ
חרף נפשו,הסתכן
חרצובה,כבל, שלשלת
חרק שיניו,התרגז מאוד
חרש,אומן, בעל מלאכה
חרש בעגלתו של אחר,הסתייע באחר לשם מעשה עורמה
חרש רעה,התכוון להרע, התנכל
חרת על דגלו,הציג את מטרתו
חש,מהר, הזדרז
חִשֵב,בחן, עיין, נטה ל-, עמד ל-
חשוב כמת,חסר ערך
חִשוק,1.עיגול חיצוני של האופן, 2.הידוק, הצמדה
חִשור,הזרוע המחברת את חישוק האופן לטבור האופן
חִשֵר,עיבה, דחס
חשרת עננים,עננים צפופים ודחוסים
חת,פחד
חָתָה גחלים על ראש,גרם לו ייסורים
חָתוי,גרוף, ערום בערימה
חתום,סגור על ידי חותם
חתחתים,בליטות, חריצים ושקעים באדמה
חתרני,לא נאמן
